id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
302,Sjöhästen i Sollentuna Brf,,Lomvägen 27,19256,Sollentuna kommun,Danderyds kommun,Stockholms län,59.4309642,18.0007464,2
303,Brf Stadshusparken 2,,Ljusdalsgatan,16274,Stockholm,Stockholms kommun,Stockholms län,59.3528205,17.8845802,2
304,Hornblåsaren nr 28 Brf,,Linnégatan 86,11523,Stockholm,Stockholms kommun,Stockholms län,59.3340121,18.0954910,2
305,Harpan 31 Brf,,Linnégatan 77,11460,Stockholm,Stockholms kommun,Stockholms län,59.3354423,18.0893790,2
307,Laxöringen 1 Brf,,Linnégatan 25-27,11445,Stockholm,Stockholms kommun,Stockholms län,59.3372915,18.0803666,2
308,Lindvallsplan 4 Brf,,Lindvallsplan 4,11736,Stockholm,Stockholms kommun,Stockholms län,59.3164052,18.0283627,2
309,Fasanen 4 Brf,,Lindhagensgatan 59,11243,Stockholm,Stockholms kommun,Stockholms län,59.3327815,18.0174097,2
310,Adjunkten 4 Brf,,Lidköpingsvägen 23,12139,Stockholm,Stockholms kommun,Stockholms län,59.2925648,18.0977461,2
311,Adjunkten 5 Brf,,Lidköpingsvägen 17,12139,Stockholm,Stockholms kommun,Stockholms län,59.2923458,18.0970292,2
312,Vinkännaren 1 Brf,,Lantgårdsvägen 3A,19274,Sollentuna kommun,Sollentuna kommun,Stockholms län,59.4619265,17.8925201,2
313,Tåget Brf,,Körsbärsvägen 6,11420,Stockholm,Stockholms kommun,Stockholms län,59.3489898,18.0652437,2
314,Parkstråket Brf,,Källtorpsvägen,18371,Täby,Täby kommun,Stockholms län,59.4352880,18.0808172,2
315,Hejaren 8 Brf,,Kyrkogatan 7,17878,Sundbybergs kommun,Sundbybergs kommun,Stockholms län,59.3647165,17.9709345,2
316,Brf Astraea,,Kungstensgatan 55,11430,Stockholm,Stockholms kommun,Stockholms län,59.3398225,18.0517798,2
317,Palmträdet 5 Brf,,Kungstensgatan 28B,11357,Stockholm,Stockholms kommun,Stockholms län,59.3416432,18.0583926,2
318,Glasberget Brf,,Kungsklippan 11,11224,Stockholm,Stockholms kommun,Stockholms län,59.3300525,18.0470292,2
319,Pagen 15 Brf,,Kungsholmsgatan 22,11228,Stockholm,Stockholms kommun,Stockholms län,59.3315499,18.0450050,2
320,Kungsholms strand 165 Brf,,Kungsholms Strand 165,11249,Stockholm,Stockholms kommun,Stockholms län,59.3382848,18.0250751,2
321,Isbrytaren 28 Brf,,Kungsholms Strand 163,11248,Stockholm,Stockholms kommun,Stockholms län,59.3382960,18.0254630,2
322,S:t Eriks Strand Brf,,Kungsholms Strand 105,11321,Stockholm,Stockholms kommun,Stockholms län,59.3356882,18.0399778,2
323,Vattuormen nordost Brf,,Kungsholms Hamnplan 7,11221,Stockholm,Stockholms kommun,Stockholms län,59.3277543,18.0461921,2
324,Sköndal i Stockholm Brf HSB,,Kubbegatan 59,12867,Stockholm,Stockholms kommun,Stockholms län,59.2549423,18.1119999,2
